customer_id,tenure_days,recency_days,frequency,avg_order_value,monetary_value,support_tickets,discount_usage_rate,churned
C00471,890,216,3,1167.26,3501.78,0,0.4479,1
C00472,1105,184,5,1985.62,9928.08,0,0.2849,1
C00473,1360,313,6,1056.66,6339.95,1,0.123,1
C00474,75,360,4,2108.58,8434.31,1,0.0837,1
C00475,949,226,7,2001.43,14010.0,0,0.1167,1
C00476,809,70,3,789.19,2367.58,1,0.1455,0
C00477,889,59,10,1008.32,10083.21,1,0.2708,0
C00478,1476,314,3,737.21,2211.64,1,0.3848,1
C00479,429,88,3,1024.75,3074.24,1,0.6986,0
C00480,1236,189,5,678.57,3392.83,1,0.2284,0
C00481,1002,129,7,1343.08,9401.56,1,0.4621,0
C00482,641,320,4,328.25,1313.01,0,0.2104,0
C00483,1060,91,4,587.68,2350.72,0,0.1307,0
C00484,1178,195,10,994.16,9941.55,0,0.0347,0
