tenure_days,recency_days,frequency,avg_order_value,monetary_value,churned
81,64,2,98.94,197.88,1
232,126,2,2653.91,5307.82,0
42,42,1,707.09,707.09,1
204,35,4,519.34,2077.36,0
162,39,2,912.7,1825.4,0
147,141,3,302.42,907.25,0
192,192,1,361.92,361.92,0
62,62,1,626.88,626.88,1
211,211,1,594.11,594.11,0
149,83,3,292.6,877.79,0
217,14,6,102.59,615.55,0
77,77,1,410.94,410.94,0
224,95,2,328.77,657.54,1
272,15,17,568.53,9665.0,0
277,46,5,909.92,4549.6,0
99,22,2,506.88,1013.75,0
237,6,13,306.47,3984.06,0
269,49,6,447.94,2687.67,0
209,8,3,2944.68,8834.03,0
244,51,3,630.98,1892.95,0
273,87,8,458.91,3671.26,0
247,6,6,215.01,1290.06,0
244,11,3,1070.22,3210.65,0
244,244,1,298.93,298.93,1
237,1,6,535.1,3210.59,0
13,13,1,108.39,108.39,0
105,73,2,189.87,379.74,1
273,69,5,152.17,760.86,0
241,14,6,274.64,1647.84,0
244,244,1,2025.39,2025.39,1
217,3,5,599.17,2995.87,1
140,140,1,73.5,73.5,1
206,42,3,350.94,1052.81,1
192,192,1,158.5,158.5,1
233,50,2,407.28,814.57,1
20,20,1,558.29,558.29,1
175,175,1,1017.68,1017.68,1
261,261,1,278.7,278.7,1
88,88,1,529.2,529.2,0
98,34,2,715.72,1431.45,0
18,18,1,288.83,288.83,0
181,50,4,457.46,1829.85,0
50,50,1,545.68,545.68,1
239,15,7,132.54,927.75,0
241,70,6,457.41,2744.48,0
2,2,1,484.3,484.3,0
233,202,2,133.46,266.92,0
220,22,4,272.34,1089.37,0
244,31,3,365.22,1095.65,0
38,38,1,981.18,981.18,1
94,94,1,371.45,371.45,0
241,170,3,1505.9,4517.69,0
269,0,11,715.9,7874.86,0
188,81,2,240.07,480.14,0
167,167,1,544.15,544.15,0
188,105,2,75.9,151.8,1
74,74,1,67.2,67.2,1
265,265,1,168.0,168.0,1
237,18,7,301.94,2113.59,0
59,59,1,308.75,308.75,0
279,66,4,2250.24,9000.96,0
227,218,2,262.86,525.71,1
51,51,1,1292.31,1292.31,0
210,210,1,238.85,238.85,1
106,34,3,481.08,1443.23,0
169,169,1,402.9,402.9,1
196,196,1,145.92,145.92,1
277,4,9,796.22,7165.98,0
160,0,15,109.71,1645.68,0
29,29,1,248.35,248.35,0
135,135,1,160.54,160.54,1
223,223,1,182.45,182.45,1
212,3,4,234.14,936.55,0
267,267,1,195.89,195.89,0
238,238,1,1412.66,1412.66,0
154,154,1,379.7,379.7,1
196,146,2,175.68,351.36,1
281,14,9,434.25,3908.21,0
188,35,4,174.65,698.59,0
259,142,2,912.05,1824.1,1
52,52,1,113.5,113.5,0
119,119,1,9341.26,9341.26,1
225,225,1,368.85,368.85,1
121,0,2,200.8,401.6,1
126,16,3,127.37,382.1,1
230,29,7,342.84,2399.9,0
150,150,1,213.95,213.95,0
176,91,2,560.4,1120.81,0
192,69,3,474.13,1422.38,0
212,34,6,121.84,731.04,0
279,20,8,215.07,1720.56,0
240,97,5,97.41,487.06,1
169,169,1,160.5,160.5,0
226,94,2,337.36,674.73,0
34,14,2,552.12,1104.25,0
170,105,3,445.51,1336.52,0
185,185,1,315.6,315.6,1
76,76,1,580.74,580.74,0
205,3,2,320.65,641.3,1
161,24,4,383.94,1535.78,0
112,112,1,561.66,561.66,0
273,8,15,614.87,9223.04,0
140,140,1,162.1,162.1,1
184,184,1,269.1,269.1,1
85,14,2,284.56,569.13,1
227,119,2,1206.91,2413.82,1
234,20,6,714.67,4288.0,0
48,4,4,623.46,2493.83,0
195,37,3,577.58,1732.75,0
62,62,1,629.64,629.64,0
231,1,6,698.7,4192.2,0
146,146,1,366.1,366.1,1
23,23,1,145.9,145.9,1
15,15,1,330.45,330.45,0
240,36,6,506.94,3041.64,1
37,37,1,477.91,477.91,1
224,17,3,406.95,1220.86,0
277,34,9,274.75,2472.71,0
62,62,1,300.05,300.05,1
120,15,3,189.84,569.51,1
242,242,1,114.0,114.0,1
239,239,1,793.98,793.98,1
204,56,2,1104.92,2209.85,1
203,105,3,100.58,301.75,0
141,24,3,838.22,2514.67,0
281,15,7,348.24,2437.66,0
230,51,3,585.83,1757.48,0
232,232,1,45.0,45.0,1
263,167,3,812.82,2438.47,0
164,58,2,713.86,1427.73,1
140,6,3,496.82,1490.47,0
237,237,1,225.9,225.9,1
234,234,1,220.9,220.9,0
115,78,2,452.4,904.8,0
219,31,4,209.51,838.05,0
261,8,6,1245.71,7474.26,0
191,113,2,399.19,798.38,0
21,21,1,275.78,275.78,0
275,59,15,596.57,8948.58,0
279,8,20,368.7,7373.92,0
273,0,12,496.35,5956.19,0
121,78,3,413.83,1241.48,0
1,0,2,731.21,1462.42,0
279,279,1,71.14,71.14,1
21,21,1,4873.81,4873.81,1
35,35,1,475.03,475.03,0
113,113,1,335.01,335.01,1
265,53,3,161.43,484.3,0
227,35,4,177.98,711.91,1
91,91,1,385.5,385.5,0
118,15,2,166.95,333.9,0
77,39,2,286.96,573.91,0
123,64,2,975.52,1951.05,0
150,150,1,301.08,301.08,0
77,13,3,300.31,900.92,0
265,66,4,982.13,3928.52,0
199,199,1,603.42,603.42,1
276,9,7,261.97,1833.77,0
274,4,11,630.07,6930.79,0
109,4,3,341.01,1023.02,1
279,14,11,318.1,3499.08,0
202,14,4,766.42,3065.7,0
14,14,1,263.36,263.36,1
41,41,1,623.9,623.9,0
153,59,2,415.49,830.98,1
277,2,17,192.7,3275.84,0
262,91,4,375.23,1500.91,0
58,22,3,309.88,929.65,0
240,81,2,122.18,244.36,0
279,279,1,371.8,371.8,1
265,92,5,271.86,1359.32,0
228,3,6,478.28,2869.7,0
240,165,3,175.77,527.31,0
21,21,1,417.01,417.01,1
272,52,8,1397.53,11180.25,0
87,87,1,218.26,218.26,1
142,142,1,383.95,383.95,1
260,260,1,110.4,110.4,1
245,223,2,344.78,689.57,1
240,240,1,144.0,144.0,1
280,280,1,137.35,137.35,1
7,7,1,975.54,975.54,1
42,42,2,270.06,540.13,1
226,52,3,2707.04,8121.13,0
277,17,8,346.18,2769.4,0
281,1,130,101.4,13182.04,0
121,38,3,918.41,2755.23,0
36,36,1,275.88,275.88,1
270,43,5,3324.18,16620.91,0
216,143,3,1003.58,3010.74,1
273,188,2,1905.98,3811.95,1
119,50,3,560.56,1681.68,0
184,24,2,1395.8,2791.59,1
183,79,2,503.76,1007.52,0
277,46,2,247.04,494.08,1
224,224,1,1693.88,1693.88,1
274,57,5,906.44,4532.19,0
146,146,1,1143.6,1143.6,1
118,118,1,1351.45,1351.45,1
219,97,4,268.67,1074.68,0
220,91,4,108.02,432.06,0
279,97,7,428.49,2999.41,0
192,192,1,549.26,549.26,0
265,57,4,428.67,1714.67,0
272,272,1,255.95,255.95,1
100,100,1,143.1,143.1,0
100,100,1,294.92,294.92,1
281,281,1,177.6,177.6,1
164,164,1,344.54,344.54,1
279,242,2,230.74,461.48,1
6,6,1,317.0,317.0,0
273,273,1,226.03,226.03,1
78,78,1,1607.04,1607.04,0
94,94,1,397.58,397.58,1
276,92,2,126.68,253.35,0
85,85,1,405.31,405.31,1
192,169,2,229.42,458.85,1
9,9,1,85.92,85.92,1
106,55,2,431.73,863.46,1
84,3,2,226.1,452.2,1
189,189,1,126.04,126.04,1
169,169,1,1182.08,1182.08,1
234,234,1,170.46,170.46,0
122,122,1,92.72,92.72,1
204,35,4,306.0,1224.0,0
273,86,4,204.66,818.62,0
38,7,3,138.5,415.51,0
268,244,2,146.5,293.0,1
79,42,4,1301.0,5204.0,0
170,170,1,215.05,215.05,1
6,6,1,267.8,267.8,0
53,53,1,417.38,417.38,1
190,190,1,312.38,312.38,1
219,45,3,704.18,2112.53,0
81,81,1,134.1,134.1,1
281,281,1,390.79,390.79,0
275,0,9,344.15,3097.39,0
134,51,4,681.69,2726.77,1
279,14,17,166.47,2829.91,0
216,216,1,310.73,310.73,0
172,67,7,241.76,1692.31,0
38,38,1,174.88,174.88,0
198,175,4,88.52,354.09,1
176,176,1,651.21,651.21,0
4,4,1,131.81,131.81,1
202,202,1,311.55,311.55,1
223,42,6,326.18,1957.1,1
226,149,2,405.18,810.37,0
280,280,1,38.1,38.1,1
210,118,2,553.2,1106.4,1
46,46,1,147.12,147.12,1
31,31,1,981.38,981.38,0
191,191,1,499.12,499.12,1
268,4,6,502.66,3015.96,0
281,93,6,267.84,1607.06,1
115,115,1,132.0,132.0,0
273,234,2,299.98,599.97,1
190,190,1,374.0,374.0,1
270,51,2,171.62,343.23,1
104,104,1,666.43,666.43,0
266,32,9,117.69,1059.23,0
174,144,2,427.5,854.99,1
183,183,1,298.0,298.0,1
31,31,1,645.35,645.35,0
127,127,1,775.0,775.0,0
163,122,2,177.06,354.12,1
200,93,3,110.33,331.0,1
209,112,2,108.25,216.5,1
178,16,19,612.6,11639.47,0
172,172,1,138.68,138.68,1
80,80,1,244.69,244.69,0
220,84,2,375.0,750.0,1
161,109,3,509.46,1528.37,0
149,42,4,371.72,1486.9,0
276,190,3,288.8,866.39,0
280,56,2,181.82,363.65,1
228,46,4,736.24,2944.95,1
36,36,1,594.0,594.0,1
77,24,3,147.22,441.65,0
281,6,24,420.14,10083.47,0
69,69,1,405.38,405.38,1
235,106,3,215.77,647.32,0
267,55,3,378.71,1136.14,0
219,219,1,117.85,117.85,1
79,79,1,221.56,221.56,0
265,9,11,2957.34,32530.7,0
191,79,2,178.74,357.49,0
227,17,4,383.84,1535.34,0
175,105,2,214.12,428.23,0
242,46,4,1997.52,7990.08,0
273,39,3,225.2,675.6,1
262,262,1,286.95,286.95,0
196,196,1,462.95,462.95,1
281,51,6,267.33,1603.99,1
172,13,4,355.99,1423.96,0
160,22,7,492.77,3449.42,0
238,81,5,150.36,751.78,0
175,0,6,307.23,1843.36,0
214,214,1,108.07,108.07,1
247,94,4,428.82,1715.29,0
21,21,1,170.54,170.54,0
273,273,1,365.8,365.8,0
279,266,2,830.45,1660.9,1
20,20,1,135.95,135.95,1
230,230,2,11.9,23.8,0
280,0,64,127.58,8165.32,0
105,105,1,144.8,144.8,1
119,119,1,738.6,738.6,1
64,64,1,39.24,39.24,1
266,65,9,819.43,7374.9,1
41,41,1,187.18,187.18,0
150,150,1,390.54,390.54,1
105,105,1,304.3,304.3,0
200,200,1,505.82,505.82,1
272,65,8,558.64,4469.14,0
218,93,2,131.95,263.9,0
20,20,1,303.56,303.56,0
206,28,3,124.13,372.4,0
176,28,2,322.74,645.47,0
225,144,2,304.24,608.47,0
153,104,3,151.96,455.88,1
272,14,3,178.28,534.85,1
234,66,11,780.23,8582.57,0
226,226,1,120.95,120.95,1
122,13,3,49.68,149.05,1
265,22,12,315.42,3785.09,0
154,81,2,256.85,513.7,1
231,231,1,229.47,229.47,1
280,280,1,50.55,50.55,1
202,56,4,253.08,1012.31,0
279,0,9,409.57,3686.09,0
189,21,5,404.5,2022.48,0
157,105,4,440.76,1763.04,0
31,31,1,425.25,425.25,0
203,0,18,281.98,5075.71,0
266,74,4,288.12,1152.47,0
37,37,1,291.4,291.4,0
183,0,3,201.4,604.2,0
262,21,6,1152.0,6912.0,1
261,46,2,386.6,773.2,0
276,276,1,402.36,402.36,0
265,265,1,190.55,190.55,1
277,277,1,165.86,165.86,0
168,168,1,333.0,333.0,0
164,46,3,293.69,881.07,1
198,91,2,295.88,591.76,0
181,181,1,516.42,516.42,1
199,199,1,560.47,560.47,1
7,7,1,305.28,305.28,1
174,174,1,197.72,197.72,0
281,35,8,335.25,2682.01,0
235,21,3,452.85,1358.55,0
226,226,1,153.78,153.78,0
274,14,13,346.61,4505.99,0
120,120,1,348.15,348.15,1
121,121,1,344.86,344.86,0
59,59,1,47.55,47.55,0
157,157,1,183.4,183.4,1
161,161,1,307.53,307.53,1
99,99,1,346.98,346.98,1
235,60,2,329.62,659.25,0
281,281,1,205.86,205.86,1
227,227,1,165.0,165.0,0
277,7,20,193.5,3870.02,0
100,100,1,228.8,228.8,1
174,174,1,177.15,177.15,1
37,37,1,919.61,919.61,1
274,198,3,192.06,576.19,0
274,14,15,461.14,6917.15,0
48,48,1,23.8,23.8,0
87,87,1,58.08,58.08,1
279,51,8,2358.76,18870.12,0
246,34,9,401.51,3613.63,1
203,65,2,208.04,416.08,1
277,7,71,609.31,43260.74,0
280,44,8,612.13,4897.02,0
267,119,4,109.94,439.75,0
281,183,8,979.06,7832.47,1
276,37,10,154.57,1545.72,0
268,30,8,579.56,4636.51,0
225,2,18,842.75,15169.46,0
7,7,1,207.36,207.36,1
142,142,1,101.19,101.19,1
273,41,19,261.14,4961.7,0
262,41,3,125.48,376.44,0
41,41,1,76.5,76.5,1
241,83,2,467.61,935.22,0
280,280,1,350.06,350.06,1
65,65,1,369.85,369.85,0
219,45,5,208.45,1042.24,0
274,21,20,539.35,10787.06,0
92,92,1,878.55,878.55,0
46,46,1,501.14,501.14,1
280,29,7,120.25,841.77,0
196,116,3,266.57,799.7,0
146,146,1,30.6,30.6,1
177,177,1,283.73,283.73,1
148,2,2,461.2,922.39,1
267,160,2,1258.23,2516.47,0
274,161,5,215.48,1077.42,0
2,2,1,64.0,64.0,1
95,95,1,324.9,324.9,0
169,169,1,77.3,77.3,1
212,181,2,54.9,109.8,1
148,91,3,295.25,885.74,0
104,104,1,3096.0,3096.0,1
120,50,3,408.89,1226.68,0
216,0,5,377.66,1888.32,0
280,41,3,163.15,489.45,0
167,17,3,570.31,1710.94,0
274,16,3,140.82,422.47,1
223,122,4,350.26,1401.03,0
240,240,1,110.95,110.95,1
280,35,2,206.9,413.8,0
7,7,1,118.8,118.8,0
272,41,10,276.6,2766.01,0
197,14,3,377.54,1132.62,0
203,203,1,1257.87,1257.87,1
276,234,2,284.6,569.2,0
206,49,3,291.07,873.2,0
226,2,4,300.26,1201.06,1
23,14,2,421.54,843.09,0
221,221,1,112.75,112.75,1
242,30,4,422.07,1688.29,1
259,259,1,354.64,354.64,0
191,191,1,417.2,417.2,1
51,38,2,208.78,417.55,0
226,107,3,317.69,953.06,0
160,160,1,505.2,505.2,0
207,207,1,140.35,140.35,0
275,275,1,165.94,165.94,0
277,224,2,1015.03,2030.06,0
268,41,8,548.97,4391.73,0
242,9,6,399.16,2394.98,0
198,38,9,163.46,1471.1,0
175,175,1,71.4,71.4,1
36,1,2,650.97,1301.94,0
245,245,1,236.02,236.02,1
23,23,1,127.0,127.0,0
113,3,2,455.97,911.94,1
43,43,1,60.7,60.7,1
170,170,1,512.13,512.13,0
269,28,5,601.84,3009.18,0
274,0,21,225.01,4725.16,0
34,34,1,319.32,319.32,0
150,28,2,154.93,309.86,0
58,58,1,197.52,197.52,0
217,63,4,207.2,828.82,0
269,36,5,831.22,4156.08,0
1,1,1,353.48,353.48,1
269,3,2,392.32,784.64,0
107,36,4,240.97,963.88,0
175,175,1,333.74,333.74,1
64,30,3,177.99,533.98,1
35,35,1,62.64,62.64,1
144,93,3,242.16,726.49,0
267,148,2,422.43,844.86,1
140,108,2,81.6,163.2,1
59,59,1,1212.26,1212.26,0
269,51,5,859.91,4299.56,0
181,181,1,108.21,108.21,1
109,109,1,257.7,257.7,1
133,133,1,160.95,160.95,1
273,46,12,182.94,2195.23,0
151,6,5,203.69,1018.45,0
244,244,1,304.24,304.24,0
120,120,1,1031.07,1031.07,1
14,14,1,439.23,439.23,0
268,71,2,159.43,318.85,0
169,169,1,329.56,329.56,1
273,4,4,162.18,648.7,1
121,20,3,90.13,270.4,1
111,111,1,585.12,585.12,1
1,0,1,121.74,121.74,1
238,84,5,367.7,1838.51,0
97,32,2,232.84,465.68,1
169,0,3,237.14,711.41,1
247,64,2,515.2,1030.4,1
281,281,1,225.7,225.7,0
113,113,1,198.87,198.87,0
193,176,2,472.05,944.1,1
171,171,1,200.29,200.29,1
233,16,23,210.63,4844.57,0
181,91,3,483.55,1450.66,0
164,20,8,316.95,2535.58,0
274,0,15,207.96,3119.34,0
175,77,6,352.97,2117.81,0
277,17,8,372.31,2978.5,0
274,274,1,590.0,590.0,1
21,21,1,138.98,138.98,1
7,7,1,137.38,137.38,0
41,24,2,62.95,125.9,0
245,30,3,266.15,798.46,1
128,70,2,386.55,773.1,0
93,93,1,25.5,25.5,0
238,238,1,201.19,201.19,1
198,69,3,656.7,1970.1,0
63,63,1,361.11,361.11,1
192,192,1,249.57,249.57,0
157,97,2,436.87,873.74,1
267,267,1,201.2,201.2,1
45,45,1,87.4,87.4,1
176,176,1,142.5,142.5,1
77,77,1,371.89,371.89,1
200,11,4,150.05,600.19,1
63,63,1,63.75,63.75,1
259,259,1,300.42,300.42,1
280,0,8,183.91,1471.25,0
28,28,1,15.0,15.0,1
111,111,1,814.95,814.95,0
216,114,2,273.32,546.64,0
232,114,2,408.82,817.65,0
58,58,1,490.11,490.11,0
247,49,3,306.11,918.34,0
162,39,2,1767.59,3535.18,0
266,106,5,262.8,1313.98,0
273,21,18,383.17,6897.07,0
121,14,3,327.05,981.15,0
268,111,7,542.71,3798.99,0
273,20,7,391.25,2738.75,0
224,224,1,1308.48,1308.48,1
274,274,1,304.2,304.2,0
223,0,3,380.31,1140.93,1
213,98,2,1354.3,2708.59,0
65,65,1,437.02,437.02,1
108,108,1,860.12,860.12,1
184,13,5,1845.91,9229.54,0
168,168,1,775.85,775.85,1
85,85,1,303.43,303.43,1
185,185,1,1656.15,1656.15,0
195,195,1,339.5,339.5,1
30,30,1,674.7,674.7,1
165,165,1,609.4,609.4,1
176,176,1,389.03,389.03,1
195,153,2,790.76,1581.53,0
125,125,1,700.6,700.6,0
245,164,2,286.7,573.4,1
273,273,1,258.28,258.28,1
279,279,1,754.87,754.87,1
184,66,2,1027.79,2055.58,0
142,7,3,289.92,869.76,1
44,44,1,136.29,136.29,0
206,21,4,615.33,2461.33,0
188,188,1,222.99,222.99,1
86,36,2,877.92,1755.84,0
237,237,1,534.57,534.57,1
39,39,2,338.55,677.1,1
140,140,1,257.89,257.89,0
111,111,1,59.8,59.8,1
217,23,5,308.69,1543.45,0
93,93,1,307.72,307.72,1
227,227,1,387.27,387.27,0
247,18,4,307.05,1228.19,0
100,100,1,457.34,457.34,1
280,35,2,310.62,621.23,1
120,120,1,217.81,217.81,0
225,112,2,278.73,557.45,1
281,7,41,435.04,17836.68,0
199,95,3,181.68,545.04,0
15,15,1,213.55,213.55,1
204,41,3,463.5,1390.5,1
113,113,1,236.0,236.0,0
280,6,15,316.28,4744.13,0
78,57,2,79.92,159.85,1
198,198,1,814.54,814.54,0
202,16,3,541.4,1624.21,1
267,90,5,311.74,1558.68,0
123,28,2,232.43,464.86,0
4,4,1,72.84,72.84,0
97,18,3,362.71,1088.12,0
98,7,4,543.4,2173.6,0
163,163,1,283.71,283.71,1
281,126,4,355.82,1423.26,0
126,32,4,355.36,1421.46,0
242,34,4,596.38,2385.5,0
178,167,2,295.0,590.0,1
197,73,2,178.49,356.98,1
274,274,1,692.94,692.94,0
115,63,3,285.02,855.06,0
267,7,10,767.84,7678.42,0
71,46,2,442.1,884.2,0
160,160,1,151.5,151.5,1
92,92,1,307.9,307.9,1
281,0,29,163.41,4739.02,0
23,7,2,82.5,165.0,1
240,240,1,241.26,241.26,0
144,144,1,226.84,226.84,1
206,99,4,357.94,1431.78,1
189,86,2,619.24,1238.47,1
199,46,4,224.89,899.55,0
142,108,2,150.48,300.95,1
164,16,4,340.33,1361.33,0
140,140,1,184.64,184.64,1
149,149,1,313.8,313.8,1
141,141,1,454.24,454.24,1
63,36,2,409.8,819.61,0
261,121,2,204.4,408.8,0
275,28,9,732.93,6596.38,0
202,13,4,112.38,449.52,1
280,55,9,120.94,1088.45,0
122,44,3,423.28,1269.84,1
195,183,2,249.32,498.63,1
219,219,1,316.26,316.26,1
276,140,3,357.48,1072.43,0
267,267,1,501.01,501.01,0
276,190,2,174.02,348.05,1
177,133,2,231.9,463.79,0
30,30,1,326.4,326.4,0
196,196,1,1340.32,1340.32,1
231,182,2,94.58,189.16,0
140,74,3,714.37,2143.12,0
277,224,2,229.26,458.52,1
53,6,3,674.26,2022.79,0
151,151,1,110.97,110.97,1
192,7,4,172.5,690.02,0
91,3,2,448.9,897.81,0
168,168,1,251.21,251.21,1
34,34,1,205.1,205.1,1
155,25,3,174.65,523.96,0
146,146,1,146.0,146.0,0
87,14,2,806.09,1612.18,0
279,45,5,477.6,2387.98,0
274,107,3,789.75,2369.24,0
127,9,3,136.29,408.86,0
156,156,1,282.88,282.88,0
234,13,4,340.63,1362.52,0
112,112,1,181.1,181.1,0
274,113,2,241.9,483.8,1
175,90,3,89.7,269.09,1
266,15,21,208.17,4371.53,0
223,2,6,165.12,990.75,0
217,148,2,157.82,315.65,0
148,148,1,113.01,113.01,0
108,108,1,182.26,182.26,0
151,4,2,339.08,678.16,1
150,50,5,152.41,762.05,0
227,227,1,91.8,91.8,1
223,31,9,306.99,2762.91,0
109,109,2,795.02,1590.05,0
188,188,1,240.68,240.68,0
123,123,1,141.86,141.86,1
153,49,2,604.86,1209.73,0
48,48,1,310.88,310.88,0
276,262,2,587.02,1174.03,1
242,242,1,110.18,110.18,0
81,81,1,187.05,187.05,1
275,275,1,109.82,109.82,0
151,151,1,239.49,239.49,1
161,0,7,154.83,1083.83,0
113,113,1,1384.25,1384.25,1
161,161,1,31.77,31.77,0
84,41,2,109.38,218.75,0
281,4,13,372.38,4840.94,0
149,0,3,397.93,1193.8,0
277,277,1,164.7,164.7,0
217,217,1,118.0,118.0,1
63,63,1,781.03,781.03,1
214,214,1,142.4,142.4,1
163,7,4,355.18,1420.72,0
87,87,1,147.0,147.0,0
211,58,4,279.1,1116.38,0
174,112,2,388.12,776.23,0
172,113,3,68.5,205.51,0
244,16,5,402.38,2011.88,1
274,64,8,289.23,2313.84,0
220,220,1,219.52,219.52,1
119,119,1,373.2,373.2,0
219,151,2,123.32,246.63,0
193,18,5,152.95,764.76,0
267,78,2,318.36,636.72,0
238,72,2,389.44,778.88,0
226,226,1,417.69,417.69,1
88,21,2,182.85,365.7,0
81,81,1,177.34,177.34,1
24,24,1,213.85,213.85,1
205,118,4,134.79,539.17,0
160,160,1,257.23,257.23,1
265,84,3,342.33,1027.0,0
246,7,8,714.8,5718.36,0
193,13,5,272.29,1361.46,0
175,7,11,279.13,3070.42,1
151,81,3,270.75,812.26,0
235,14,3,251.99,755.97,0
193,30,4,161.64,646.55,0
134,95,2,338.7,677.4,0
123,123,1,312.28,312.28,1
93,6,2,129.7,259.4,0
13,13,1,851.09,851.09,0
28,28,1,252.1,252.1,1
142,83,2,401.93,803.86,0
274,164,2,173.3,346.6,1
175,115,2,372.76,745.52,0
276,164,2,319.12,638.24,0
181,53,4,428.57,1714.27,0
149,22,2,466.48,932.97,1
245,72,2,189.82,379.65,1
109,109,1,152.34,152.34,0
112,112,1,933.3,933.3,0
228,113,2,781.5,1563.0,1
167,120,2,258.22,516.44,0
87,87,1,189.47,189.47,1
195,195,2,32.02,64.05,0
57,57,1,299.05,299.05,1
270,21,16,306.31,4900.97,0
57,57,1,48.15,48.15,0
240,209,2,93.2,186.39,1
192,59,2,243.41,486.82,1
59,59,1,232.6,232.6,1
247,245,2,1195.8,2391.59,0
63,63,1,203.46,203.46,0
95,95,1,59.5,59.5,1
193,193,1,65.13,65.13,1
90,90,1,72.0,72.0,1
144,121,2,435.79,871.58,0
281,15,39,1177.22,45911.64,0
167,6,12,147.26,1767.07,0
63,63,1,308.58,308.58,1
235,0,8,204.35,1634.77,0
226,226,1,99.5,99.5,1
281,52,2,261.34,522.68,0
210,210,1,330.79,330.79,1
223,175,2,403.2,806.41,1
179,179,1,283.33,283.33,1
223,9,5,583.76,2918.81,0
126,126,2,126.03,252.06,1
154,154,1,228.84,228.84,1
280,189,5,215.48,1077.39,1
177,177,1,138.28,138.28,1
206,36,4,239.0,955.99,0
203,154,2,153.28,306.55,1
142,113,2,169.37,338.74,0
162,24,4,199.98,799.9,1
190,39,3,791.8,2375.41,1
125,125,1,199.85,199.85,1
216,77,7,266.53,1865.7,0
8,8,1,292.68,292.68,0
218,15,5,159.4,797.02,0
69,43,2,376.3,752.6,1
154,127,2,305.3,610.59,1
142,83,2,704.84,1409.69,0
168,168,1,357.53,357.53,0
108,108,1,339.6,339.6,1
148,148,1,350.75,350.75,1
125,91,2,181.56,363.13,0
228,70,10,263.26,2632.57,0
167,15,5,182.42,912.12,0
200,3,2,540.26,1080.52,1
70,70,1,300.04,300.04,1
281,281,1,79.6,79.6,1
281,3,5,189.65,948.25,1
244,48,4,329.16,1316.63,0
196,196,1,296.25,296.25,1
154,32,6,195.9,1175.38,1
195,195,1,741.26,741.26,1
225,59,2,141.3,282.6,1
275,1,8,371.54,2972.33,0
281,109,5,470.3,2351.52,0
164,164,1,135.09,135.09,0
87,87,1,491.71,491.71,0
126,126,1,306.72,306.72,1
245,52,2,471.64,943.29,0
281,16,28,345.58,9676.37,0
275,0,8,272.08,2176.62,0
155,107,2,732.42,1464.85,0
147,4,2,341.48,682.97,0
281,37,24,515.01,12360.24,0
11,11,1,178.7,178.7,1
78,78,1,116.28,116.28,0
158,158,1,127.84,127.84,1
235,32,3,161.6,484.79,0
240,2,9,236.02,2124.15,0
275,275,1,230.4,230.4,1
272,272,1,106.4,106.4,0
76,35,2,758.0,1516.0,1
195,195,1,74.6,74.6,0
280,1,42,694.31,29161.14,0
202,24,2,344.43,688.86,1
217,217,1,558.32,558.32,1
219,46,3,1533.14,4599.42,1
